DateTime,Date,Hour,Day of the Week,Season,Daytime,Consumption (kW)
2021-11-23 13:00:00,2021-11-23,13:00:00,1,3,1,0.171
2021-11-23 13:15:00,2021-11-23,13:15:00,1,3,1,0.2105
2021-11-23 13:30:00,2021-11-23,13:30:00,1,3,1,0.25
2021-11-23 13:45:00,2021-11-23,13:45:00,1,3,1,0.2065
2021-11-23 14:00:00,2021-11-23,14:00:00,1,3,1,0.163
2021-11-23 14:15:00,2021-11-23,14:15:00,1,3,1,0.1699999999999999
2021-11-23 14:30:00,2021-11-23,14:30:00,1,3,1,0.177
2021-11-23 14:45:00,2021-11-23,14:45:00,1,3,1,0.1694999999999999
2021-11-23 15:00:00,2021-11-23,15:00:00,1,3,1,0.162
2021-11-23 15:15:00,2021-11-23,15:15:00,1,3,1,0.162
2021-11-23 15:30:00,2021-11-23,15:30:00,1,3,1,0.162
2021-11-23 15:45:00,2021-11-23,15:45:00,1,3,1,0.1665
2021-11-23 16:00:00,2021-11-23,16:00:00,1,3,1,0.171
2021-11-23 16:15:00,2021-11-23,16:15:00,1,3,1,0.265
2021-11-23 16:30:00,2021-11-23,16:30:00,1,3,1,0.359
2021-11-23 16:45:00,2021-11-23,16:45:00,1,3,1,0.37
2021-11-23 17:00:00,2021-11-23,17:00:00,1,3,1,0.381
2021-11-23 17:15:00,2021-11-23,17:15:00,1,3,1,0.411
2021-11-23 17:30:00,2021-11-23,17:30:00,1,3,0,0.441
2021-11-23 17:45:00,2021-11-23,17:45:00,1,3,0,0.4385
2021-11-23 18:00:00,2021-11-23,18:00:00,1,3,0,0.436
2021-11-23 18:15:00,2021-11-23,18:15:00,1,3,0,0.4165
2021-11-23 18:30:00,2021-11-23,18:30:00,1,3,0,0.397
2021-11-23 18:45:00,2021-11-23,18:45:00,1,3,0,0.369
2021-11-23 19:00:00,2021-11-23,19:00:00,1,3,0,0.341
2021-11-23 19:15:00,2021-11-23,19:15:00,1,3,0,0.3515
2021-11-23 19:30:00,2021-11-23,19:30:00,1,3,0,0.362
2021-11-23 19:45:00,2021-11-23,19:45:00,1,3,0,0.3249999999999999
2021-11-23 20:00:00,2021-11-23,20:00:00,1,3,0,0.288
2021-11-23 20:15:00,2021-11-23,20:15:00,1,3,0,0.351
2021-11-23 20:30:00,2021-11-23,20:30:00,1,3,0,0.414
2021-11-23 20:45:00,2021-11-23,20:45:00,1,3,0,0.4629999999999999
2021-11-23 21:00:00,2021-11-23,21:00:00,1,3,0,0.512
2021-11-23 21:15:00,2021-11-23,21:15:00,1,3,0,0.4345
2021-11-23 21:30:00,2021-11-23,21:30:00,1,3,0,0.357
2021-11-23 21:45:00,2021-11-23,21:45:00,1,3,0,0.303
2021-11-23 22:00:00,2021-11-23,22:00:00,1,3,0,0.249
2021-11-23 22:15:00,2021-11-23,22:15:00,1,3,0,0.236
2021-11-23 22:30:00,2021-11-23,22:30:00,1,3,0,0.223
2021-11-23 22:45:00,2021-11-23,22:45:00,1,3,0,0.242
2021-11-23 23:00:00,2021-11-23,23:00:00,1,3,0,0.261
2021-11-23 23:15:00,2021-11-23,23:15:00,1,3,0,0.2535
2021-11-23 23:30:00,2021-11-23,23:30:00,1,3,0,0.246
2021-11-23 23:45:00,2021-11-23,23:45:00,1,3,0,0.253
2021-11-24 00:00:00,2021-11-24,00:00:00,2,3,0,0.26
2021-11-24 00:15:00,2021-11-24,00:15:00,2,3,0,0.241
2021-11-24 00:30:00,2021-11-24,00:30:00,2,3,0,0.222
2021-11-24 00:45:00,2021-11-24,00:45:00,2,3,0,0.216
2021-11-24 01:00:00,2021-11-24,01:00:00,2,3,0,0.21
2021-11-24 01:15:00,2021-11-24,01:15:00,2,3,0,0.307
2021-11-24 01:30:00,2021-11-24,01:30:00,2,3,0,0.404
2021-11-24 01:45:00,2021-11-24,01:45:00,2,3,0,0.346
2021-11-24 02:00:00,2021-11-24,02:00:00,2,3,0,0.288
2021-11-24 02:15:00,2021-11-24,02:15:00,2,3,0,0.3299999999999999
2021-11-24 02:30:00,2021-11-24,02:30:00,2,3,0,0.372
2021-11-24 02:45:00,2021-11-24,02:45:00,2,3,0,0.393
2021-11-24 03:00:00,2021-11-24,03:00:00,2,3,0,0.414
2021-11-24 03:15:00,2021-11-24,03:15:00,2,3,0,0.2885
2021-11-24 03:30:00,2021-11-24,03:30:00,2,3,0,0.163
2021-11-24 03:45:00,2021-11-24,03:45:00,2,3,0,0.1425
2021-11-24 04:00:00,2021-11-24,04:00:00,2,3,0,0.122
2021-11-24 04:15:00,2021-11-24,04:15:00,2,3,0,0.128
2021-11-24 04:30:00,2021-11-24,04:30:00,2,3,0,0.134
2021-11-24 04:45:00,2021-11-24,04:45:00,2,3,0,0.132
2021-11-24 05:00:00,2021-11-24,05:00:00,2,3,0,0.13
2021-11-24 05:15:00,2021-11-24,05:15:00,2,3,0,0.128
2021-11-24 05:30:00,2021-11-24,05:30:00,2,3,0,0.126
2021-11-24 05:45:00,2021-11-24,05:45:00,2,3,0,0.1235
2021-11-24 06:00:00,2021-11-24,06:00:00,2,3,0,0.121
2021-11-24 06:15:00,2021-11-24,06:15:00,2,3,0,0.125
2021-11-24 06:30:00,2021-11-24,06:30:00,2,3,0,0.129
2021-11-24 06:45:00,2021-11-24,06:45:00,2,3,0,0.128
2021-11-24 07:00:00,2021-11-24,07:00:00,2,3,0,0.127
2021-11-24 07:15:00,2021-11-24,07:15:00,2,3,0,0.127
2021-11-24 07:30:00,2021-11-24,07:30:00,2,3,1,0.127
2021-11-24 07:45:00,2021-11-24,07:45:00,2,3,1,0.123
2021-11-24 08:00:00,2021-11-24,08:00:00,2,3,1,0.119
